States/UTs,District,Year,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,Cruelty by Husband or his Relatives,Deaths due to negligent driving/act,Extortion,Incidence of Rash Driving,HumanTrafficking
Daman & Diu,Daman,2014,6,4,0,2,2,0,0,0,2,0,2,0,10,6,0,0,0,4,0,0,0,5,21,1,20,29,22,7,0,1,36,3,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,2,2,0,0,0,0,0,0,0,0,1,9,3,15,0
Daman & Diu,Diu,2014,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,10,0
Daman & Diu,Total,2014,7,6,0,3,2,0,0,0,2,0,2,0,10,6,0,0,0,4,0,0,0,5,21,1,20,31,24,7,0,1,38,4,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,3,3,0,0,0,0,0,0,0,0,1,15,3,25,0
Delhi UT,Central,2014,30,44,11,62,91,0,0,0,91,3,88,0,305,286,0,5,0,14,4,0,4,288,576,345,231,4124,1132,2992,0,45,287,14,1,0,0,1,0,1,0,0,0,0,40,34,3,3,7,212,54,9,0,26,123,37,1,0,0,99,75,18,416,0
Delhi UT,Crime Branch,2014,0,3,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0
Delhi UT,East,2014,61,93,5,185,230,0,0,0,230,17,213,6,678,603,0,3,0,72,2,0,2,789,999,600,399,9437,3113,6324,0,77,528,12,1,1,0,0,0,0,0,0,0,19,37,33,2,2,15,446,171,36,5,91,143,114,1,2,1,477,112,39,846,0
Delhi UT,EOW,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Delhi UT,IGI Airport,2014,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,1,1,0,157,8,149,0,4,14,169,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,3,0,0,2,7,4,0,4,0,0,5,1,27,0
Delhi UT,Metro,2014,0,3,0,0,1,0,0,0,1,0,1,0,10,5,0,0,0,5,0,0,0,4,2,2,0,2198,26,2172,0,10,17,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,28,5,2,0,2,19,3,0,0,0,0,1,0,1,0
Delhi UT,New Delhi,2014,6,8,2,10,20,0,0,0,20,2,18,0,44,44,0,0,0,0,0,0,0,63,53,48,5,1252,163,1089,0,20,109,91,52,0,0,52,1,0,51,0,0,8,4,3,1,0,2,56,25,1,1,14,15,18,1,0,0,15,55,7,392,0
Delhi UT,North,2014,31,28,8,40,60,0,0,0,60,9,51,3,279,264,0,1,0,14,9,0,9,353,653,482,171,4309,899,3410,0,49,317,0,2,0,0,2,0,2,0,0,0,11,28,28,0,0,6,180,42,12,1,16,109,18,0,0,0,117,139,15,514,0
Delhi UT,North-East,2014,84,110,5,192,237,0,0,0,237,17,220,7,1047,928,0,5,0,114,14,0,14,1286,1049,905,144,8185,3679,4506,0,53,353,0,0,0,0,0,0,0,0,0,0,19,71,64,5,2,27,492,171,46,4,47,224,50,0,8,0,349,87,29,656,0
Delhi UT,North-West,2014,48,81,1,57,165,0,0,0,165,9,156,12,663,661,0,2,0,0,13,0,13,734,935,710,225,7341,1957,5384,0,57,389,5,2,0,0,2,1,1,0,0,0,10,93,92,0,1,14,404,109,23,3,61,208,51,0,0,0,246,147,8,631,0
Delhi UT,Outer,2014,87,89,3,122,259,0,0,0,259,1,258,9,1198,1192,0,6,0,0,11,0,11,1009,1842,1557,285,10031,2656,7375,0,97,431,6,1,0,0,1,1,0,0,0,0,31,75,74,0,1,22,428,133,56,4,52,183,146,2,6,0,521,286,28,967,1
Delhi UT,RAILWAY,2014,10,4,0,0,1,0,0,0,1,1,0,0,38,31,0,1,0,6,1,0,1,62,0,0,0,1455,13,1442,0,5,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,19,15,0,2,2,0,1,0,0,1,0,1,0,5,0
